"If you had to run a marathon, how many miles do you think you could last?",Hypotheticals
"If you were invisible, where would you go?",Hypotheticals
"If you could coach any professional sports team, which one would it be?",Hypotheticals
"If you could choose/have chosen any college to attend, which would it be?",Hypotheticals
"If you could change one event in the course of world history, what would it be?",Hypotheticals
"If you were to rank all the people in your high school graduating class based on how successful they are, or are going to be, where would you fall?",Hypotheticals
"If you went to the electronics store right now with $1000, what would you buy?",Hypotheticals
"If you could choose any couple, besides your parents, to adopt you at birth, who would you choose?",Hypotheticals
"If you could have a view of anything from your bedroom, what view would you choose?",Hypotheticals
"If you went to the video store right now, what video would you rent?",Hypotheticals
"If there was a national holiday in your honor, what day would it fall on? (Choose a date.)",Hypotheticals
"If your picture showed up on America's Most Wanted list, what crime would you have committed?",Hypotheticals
"If you had to be blind, deaf, or mute, what would you be?",Hypotheticals
"How do you treat yourself?",Hypotheticals
"If you were to put out a hit song, what genre would it be?",Hypotheticals
"If you could be the president of any corporation, which would you choose?",Hypotheticals
"If you were sitting at a round table of three famous writers, artists, and/or musicians, past or present, who would be joining you?",Hypotheticals
"If you were to sell something at an auction, what would you sell, and how much would it sell for?",Hypotheticals
"If 50 people in your age group were selected randomly, how many do you think you would find leading a happier life than yours?",Hypotheticals
"If you could add one more attribute to your personality, what would it be?",Hypotheticals
"If you were running for mayor of your city, what three words would comprise your slogan?",Hypotheticals
"If you were city commissioner, what would you do to make your city better?",Hypotheticals
"If you could be a contestant on any game show, which one would you choose?",Hypotheticals
"If you were granted one wish, what would you wish for?",Hypotheticals
"If you could ask the President of the U.S. one question, what would it be?",Hypotheticals
"If you could cause the extinction of any creature (without impacting the environment), which creature would you choose?",Hypotheticals
"If the plane you were flying in was about to crash, who would you want sitting next to you?",Hypotheticals
"If you were any animal, what would you be?",Hypotheticals
"If you were to have cosmetic surgery, what part of your body would you want operated on?",Hypotheticals
"If somebody carved a statue of you, what park would you want it to be in?",Hypotheticals
"If you could be an expert on any one subject, what would it be?",Hypotheticals
"If you talked in your sleep, what would you say?",Hypotheticals
"If you could attend any sporting event, which one would it be?",Hypotheticals
"If the President asked you personally to solve a national emergency, what might they call on you to solve?",Hypotheticals
"If you were locked in a department store overnight, what song would you want playing on repeat?",Hypotheticals
"If you found a $50 bull on the street and had to spend it immediately, what would you buy?",Hypotheticals
"If you could only work on one body part at the gym, what would it be?",Hypotheticals
"If you could look up any word in the dictionary, what would you choose?",Hypotheticals
"If you could attend any awards show, which would you choose?",Hypotheticals
"If you were a police officer, what type of criminal would you specialize in catching?",Hypotheticals
"If you were traveling around the world, who would you want as your traveling companions?",Hypotheticals
"If you were to name your current home, what would you name it?",Hypotheticals
"If there is a hell, where is it?",Hypotheticals
"If there is a heaven, where is it?",Hypotheticals
"If you became president of the U.S., what is the first measure you would enact while in office?",Hypotheticals
"If you had to spend the rest of your life in one city, where would it be?",Hypotheticals
"If you could make one thing in your life more convenient, what would it be?",Hypotheticals
"If you could be a character in any novel, who would you be?",Hypotheticals
"If you could be a famous actor, writer, athlete, artist, or musician, which would you choose?",Hypotheticals
"If you were nominated for a Nobel prize, what would it be for?",Hypotheticals
"If Satan lived on Earth, what would his friends and enemies know him by?",Hypotheticals
"If you were to wipe one country off the map, which would you choose?",Hypotheticals
"If you were an evil dictator, where would you rule?",Hypotheticals
"If there is life on Mars, what celebrity might resemble the Martians?",Hypotheticals
"If you could cease or continue your education at/to any age, what age would it be?",Hypotheticals
"If you owned an enormous yacht, what would you name it?",Hypotheticals
"If you were forced to choose your own death, how would you die?",Hypotheticals
"If you could change one thing about airlines to make your flights more enjoyable, what would it be?",Hypotheticals
"If you wanted to test the limits, how many slices of pizza could you consume?",Hypotheticals
"If you were to write a book, what would it be about?",Hypotheticals
"If you could have an all-expense-paid week-long vacation from work/school, where would you go?",Hypotheticals
"If you could raise or lower the speed limit on highways, what number would you set it at?",Hypotheticals
